Date, HumidityOut, HumidityIn
1393850490773,81.2
1393850495775,81.2
1393850500772,81.2
1393850505786,81.2
1393850510807,81.2
1393850515777,81.2
1393850520794,81.2
1393850525782,81.2
1393850530793,81.2
1393850535782,81.2
1393850540795,81.2
1393850545793,81.2
1393850550792,81.2
1393850555785,81.2
1393850560792,81.2
1393850565796,81.2
1393850570795,81.3
1393850575783,81.2
1393850580804,81.2
1393850585803,81.2
1393850590803,81.2
1393850595807,81.2
1393850600804,81.3
1393850605805,81.2
1393850610814,81.3
1393850615812,81.3
1393850620818,81.2
1393850625813,81.3
1393850630814,81.3
1393850635826,81.3
1393850640812,81.3
1393850645825,81.3
1393850650825,81.3
1393850655825,81.3
1393850660825,81.3
1393850665823,81.3
1393850670832,81.3
1393850675822,81.3
1393850680852,81.3
1393850685833,81.3
1393850690836,81.3
1393850695825,81.3
1393850700836,81.3
1393850705836,81.3
1393850710832,81.3
1393850715846,81.3
1393850720824,81.3
1393850725845,81.3
1393850730843,81.3
1393850735845,81.3
1393850740843,81.3
1393850745845,81.3
1393850750852,81.3
1393850755855,81.3
1393850760852,81.3
1393850765875,81.3
1393850770855,81.3
1393850775853,81.4
1393850780855,81.4
1393850785863,81.3
1393850790897,81.3
1393850795863,81.3
1393850800916,81.3
1393850805895,81.3
1393850810863,81.4
1393850815878,81.4
1393850820872,81.3
1393850825872,81.3
1393850830876,81.3
1393850860885,81.4
1393850901901,81.3
1393850906557,81.4
1393850911563,81.4
1393850941585,81.4
1393850971576,81.4
1393851001603,81.4
1393851031632,81.4
1393851061643,81.4
1393851091663,81.5
1393851121739,81.4
1393851151705,81.5
1393851181725,81.5
1393851211736,81.5
1393851241766,81.5
1393851271795,81.5
1393851301825,81.5
1393851331823,81.5
1393851361853,81.5
1393851391890,81.5
1393851421905,81.5
1393852577506,81.5
1393852582176,81.6
1393852587143,81.7
1393852592148,81.7
1393852597152,81.7
1393852602173,81.7
1393852607175,81.6
1393852612155,81.7
1393852617163,81.7
1393852622180,81.7
1393852627183,81.6
1393852632186,AM2315
1393852637166,81.6
1393852642163,81.6
1393852647163,81.6
1393852652172,81.6
1393852657176,81.6
1393852662175,81.6
1393852667173,81.6
1393852672175,81.6
1393852677206,81.6
1393852682172,81.6
1393852687183,81.6
1393852692172,81.6
1393852697186,81.6
1393852702183,81.6
1393852707203,81.6
1393852712186,81.6
1393852717183,81.6
1393852722192,81.6
1393852727205,81.6
1393852732196,81.6
1393852737193,81.6
1393852742196,81.7
1393852817217,81.6
1393852821908,81.6
1393852826903,81.6
1393852831932,81.6
1393852836912,81.6
1393852841912,81.6
1393852846922,81.5
1393852980735,81.7
1393853010726,81.6
1393853040776,81.5
1393853070766,81.5
1393853100793,81.6
1393853130803,81.5
1393853160833,81.6
1393853190843,81.6
1393853220863,81.6
1393853250886,81.6
1393853280916,81.6
1393853310917,81.6
1393853340945,81.6
1393853370972,81.6
1393853400984,81.6
1393853430996,81.5
1393853435992,81.5
1393853440995,81.5
1393853446026,81.5
1393853451005,81.5
1393853455986,81.5
1393853460992,81.5
1393853466005,81.5
1393853471003,81.5
1393853476003,81.5
1393853481015,81.5
1393853485995,81.5
1393853491003,81.5
1393853496036,81.5
1393853501015,81.5
1393853506012,81.5
1393853511013,81.5
1393853516016,81.5
1393853521012,81.5
1393853526015,81.5
1393853531006,81.5
1393853536026,81.5
1393853541088,81.5
1393853546026,81.5
1393853551032,81.5
1393853556053,81.5
1393853561032,81.5
1393853566045,81.5
1393853571043,81.5
1393853576065,81.5
1393853581046,81.5
1393853586065,81.5
1393853591065,81.5
1393853596063,81.5
1393853601076,81.5
1393853606073,81.5
1393853611075,81.4
1393853616076,81.5
1393856389127,81
1393856393234,80
1393856398163,80.2
1393856403166,80.2
1393856408163,80.2
1393856413176,80.2
1393856418172,80.3
1393856423163,80.3
1393856428176,80.3
1393856433173,80.3
1393856438176,80.3
1393860049256,79.1
1393860053924,78.6
1393860058912,78.5
1394259025373,70.5
1394259030118,70.7
1394259035138,70.7
1394259040148,70.7
1394259045211,70.7
1394259050138,70.7
1394259055147,70.7
1394259060148,70.7
1394259065148,70.7
1394259127679,70.8
1394259132129,70.8
1394259137118,70.8
1394259142128,70.8
1394259147128,70.8
1394259152129,70.8
1394259157139,70.8
1394259234466,70.8
1394259238942,70.8
1394259243888,70.8
1394259248888,70.8
1394259253887,70.9
1394259258888,70.8
1394259263898,70.8
1394259448763,70.9
1394259453508,71
1394259623018,70.8
1394259628018,71.1
1394259633028,71
1394259638017,71
1394259643028,71
1394259648028,71
1394259653028,71.1
1394259658058,71
1394259663048,71.1
1394259668038,71.1
1394259673039,71.1
1394259678038,71.1
1394259683058,71.1
1394259713068,71.1
1394259743088,71.2
1394259773068,71
1394259803078,71
1394260011878,71.1
1394260016878,71.1
1394260021868,71.1
1394260044878,71.2
1394260049888,71.2
