Date, LiquidTemp, TempOut, TempIn
1393842737256,65.97,65.84
1393842741946,65.97,65.84
1393842746936,65.97,66.20
1393842751933,65.97,66.20
1393842756935,65.97,66.20
1393843030997,65.97,66.20
1393843035344,66.09,66.20
1393843040272,65.97,66.20
1393843045276,66.09,66.20
1393843050275,66.09,66.20
1393843055273,66.09,66.20
1393843060275,66.09,66.20
1393843065276,66.09,66.20
1393843070272,66.09,66.20
1393843075275,66.09,66.20
1393843086026,66.09,66.20
1393843090713,66.09,66.20
1393843095726,66.09,66.20
1393843100707,66.09,66.20
1393843105726,66.09,66.20
1393843110716,66.09,66.20
1393843115712,66.09,66.20
1393843120715,66.09,66.20
1393843125712,66.09,66.20
1393843130725,66.09,66.20
1393843135723,66.09,66.20
1393843140726,66.09,66.38
1393843145723,66.09,66.20
1393843150723,66.09,66.20
1393843155732,66.09,66.38
1393843160732,66.09,66.20
1393843165736,66.09,66.20
1393843170732,66.09,66.20
1393843175732,66.09,66.20
1393843180743,66.09,66.38
1393843185746,66.09,66.20
1393843190732,66.09,66.38
1393843195736,66.09,66.38
1393843200808,66.09,66.20
1393843205765,66.09,66.20
1393843210814,66.09,66.38
1393843215831,66.09,66.20
1393843220746,66.09,66.20
1393843225752,66.09,66.38
1393843230755,66.09,66.38
1393843235755,66.09,66.38
1393843240766,66.09,66.38
1393843245755,66.09,66.38
1393843250752,66.09,66.38
1393843255756,66.09,66.38
1393843260755,66.09,66.38
1393843265753,66.20,66.38
1393843270783,66.09,66.38
1393843275752,66.09,66.38
1393843280766,66.09,66.38
1393843285766,66.09,66.38
1393843290763,66.20,66.38
1393843295766,66.20,66.38
1393843300763,66.09,66.38
1393843305772,66.09,66.38
1393843310792,66.09,66.38
1393843315772,66.09,66.38
1393843320772,66.20,66.38
1393843325776,66.09,66.38
1393843330786,66.20,66.38
1393843335786,66.20,66.38
1393843340805,66.09,66.38
1393843345803,66.09,66.38
1393843350775,66.09,66.38
1393843355782,66.09,66.38
1393843360794,66.20,66.38
1393843365792,66.09,66.38
1393843370796,66.20,66.38
1393843375795,66.20,66.38
1393843380795,66.20,66.38
1393843385795,66.20,66.38
1393843390792,66.20,66.38
1393843395792,66.20,66.38
1393843400806,66.09,66.38
1393843405803,66.09,66.38
1393843410807,66.20,66.38
1393843415802,66.20,66.38
1393843420806,66.20,66.38
1393843425812,66.20,66.38
1393843430815,66.20,66.38
1393843435812,66.20,66.38
1393843440815,66.20,66.38
1393843445817,66.20,66.38
1393843450812,66.20,66.38
1393843455815,66.20,66.38
1393843460824,66.20,66.38
1393843465846,66.20,66.38
1393843470884,66.20,66.38
1393843515369,66.20,66.38
1393843519783,66.20,66.38
1393843524755,66.20,66.38
1393843529703,66.20,66.38
1393843534722,66.20,66.38
1393843539706,66.20,66.38
1393843544702,66.20,66.38
1393843549712,66.20,66.38
1393843554703,66.20,66.38
1393843559715,66.20,66.38
1393843709803,66.20,66.38
1393843714516,66.20,66.38
1393843719475,66.20,66.38
1393844559626,66.54,66.38
1393844563937,66.54,66.38
1393844568926,66.54,66.74
1393844573866,66.54,66.74
1393844578863,66.54,66.74
1393844583866,66.54,66.74
1393844588872,66.54,66.74
1393844715283,66.54,66.74
1393844719976,66.54,66.74
1393844926767,66.65,66.74
1393845060079,66.65,66.74
1393845064496,66.65,66.74
1393845069492,66.65,66.74
1393845198467,66.65,66.74
1393845203025,66.65,66.74
1393845207994,66.65,66.74
1393845213003,66.65,66.74
1393845217993,66.65,66.74
1393845223012,66.76,66.92
1393845244566,66.65,66.92
1393845249276,66.65,66.92
1393845254243,66.76,66.92
1393845259253,66.65,66.92
1393850196414,66.65,66.92
1393850200774,68.00,66.92
1393850205695,68.11,68.18
1393850210747,68.00,68.18
1393850215695,68.00,68.18
1393850220693,68.11,68.18
1393850225706,68.00,68.18
1393850230702,68.00,68.18
1393850235723,68.00,68.18
1393850240703,68.11,68.18
1393850245715,68.00,68.18
1393850250707,68.00,68.18
1393850255712,68.11,68.18
1393850260715,68.00,68.18
1393850265714,68.11,68.18
1393850270712,68.11,68.18
1393850275716,68.11,68.18
1393850280716,68.11,68.18
1393850285712,68.11,68.18
1393850290716,68.11,68.18
1393850295723,68.11,68.18
1393850300716,68.11,68.18
1393850305723,68.11,68.18
1393850310725,68.11,68.18
1393850315732,68.11,68.18
1393850320737,68.11,68.18
1393850325733,68.11,68.18
1393850330731,68.11,68.36
1393850335739,68.11,68.18
1393850340736,68.11,68.18
1393850345732,68.11,68.18
1393850350752,68.11,68.18
1393850355756,68.11,68.36
1393850360763,68.11,68.18
1393850365746,68.00,68.18
1393850370757,68.11,68.18
1393850375746,68.11,68.18
1393850380752,68.11,68.36
1393850385755,68.11,68.18
1393850390753,68.11,68.36
1393850395752,68.11,68.36
1393850400756,68.11,68.36
1393850405752,68.11,68.36
