Date, HumidityOut, HumidityIn
1389614183539,66.2,65.4
1389615083608,61.9,65.6
1389617783908,56.9,66.3
1389618683998,52.3,66.0
1389619584098,50.5,65.9
1389622284398,49.8,64.5
1389623184519,51.3,64.3
1389624084598,53.7,64.6
1389624984699,54.5,64.3
1389625884750,49.5,64.3
1389626784859,52.9,64.2
1389627684960,52.2,63.9
1389628585038,48.8,63.0
1389629485140,40.1,62.8
1389635785738,37.8,59.8
1389637585858,33.6,59.2
1389638485958,35.6,58.1
1389640286119,34.7,55.4
1389641186129,34.9,53.6
1389642086178,34.6,51.4
1389642986279,33.7,50.7
1389644786458,32.1,48.8
1389645686549,30,48.3
1389646586659,30.8,46.6
1389647486738,30.3,46.9
1389648386848,31.6,46.0
1389649286948,30.8,45.2
1389651087149,29.5,43.4
1389652887349,31.2,42.8
1389654687478,28.9,41.9
1389655587635,28.9,41.8
1389656487681,29.3,42.7
1389657387769,30.4,42.7
1389660088089,29.6,41.8
1389661888280,32.4,43.0
1389662788379,37,43.6
1389664588539,51.4,44.4
1389665488579,51.8,44.7
1389666388680,53.1,46.5
1389667288769,36.7,45.9
1389669088979,35,47.5
1389669989069,44.9,49.1
1389670889131,48.6,49.7
1389672689249,29.6,49.1
1389674489360,49.6,50.7
1389675389479,53.7,51.0
1389676289580,53.6,51.2
1389678089779,57,50.6
1389678989820,54.8,49.4
1389679889909,49.5,49.6
1389681689999,46.7,50.6
1389682590009,36.3,49.9
1389684390119,54,51.0
1389685290169,51.5,51.7
1389686190278,46.9,51.9
1389687090370,39.9,52.5
1389688890540,42.2,53.5
1389690690649,49.2,53.9
1389691590748,44.9,54.4
1389692490759,42.3,54.7
1389693390860,37.5,54.4
1389694290949,35.5,54.2
1389695191039,36.8,54.5
1389696091139,40.6,54.6
1389696991240,37.3,54.8
1389697891278,38.8,54.6
1389698791294,36,53.4
1389700591469,38.9,53.1
1389701491580,36.9,52.6
1389702391669,36.5,52.5
1389703291781,38.4,52.7
1389704191879,34.5,53.0
1389705091979,37.9,53.4
1389705992071,48.1,53.9
1389706892170,48.2,54.2
1389708692369,48.3,54.6
1389709592459,46.2,54.6
1389710492559,42.5,54.6
1389711392659,38.3,54.9
1389712292759,45.6,55.1
1389713192870,45.4,55.3
1389716793130,23.8,56.1
1389717693239,22.8,55.8
1389721293579,24.6,53.9
1389722193670,24.6,53.5
1389723093769,23.4,52.5
1389723993850,23.3,51.9
1389724893941,23.7,50.6
1389725794039,22,47.6
1389726694150,22.3,45.1
1389727594239,22.9,44.1
1389729394420,22.8,43.9
1389731194700,21.5,42.1
1389732094731,20.7,38.7
1389732994830,20.1,20.9
1389733894921,19.1,21.7
1389734795020,20.3,21.6
1389735695070,20.5,20.0
1389736595171,19.8,19.9
1389740195540,19.6,19.5
1389741095641,20,18.9
1389741995740,18.6,19.5
1389744696003,21.3,19.2
1389745596101,20.4,19.7
1389746496190,20,19.6
1389749196460,24.4,23.5
1389751896762,36.6,28.1
1389752796860,36.7,30.3
1389753696951,40.6,31.4
1389754597001,37.8,29.9
1389755497110,32.5,30.0
1389756397210,36,29.1
1389759097460,41.1,30.4
1389759997520,39.5,31.0
1389761797650,43.5,32.3
1389762697742,44.4,33.1
1389763597841,43.6,33.8
1389764497952,42.2,34.4
1389765398010,44,34.8
1389766298070,45.8,35.6
1389767198170,48.7,36.0
1389768998370,46.9,37.0
1389772598780,42.2,38.5
1389773498790,43.3,38.7
1389774398891,32.4,38.6
1389776199082,24.4,38.0
1389777099141,26.2,37.9
1389777999180,29.9,38.4
1389778899291,37.8,38.5
1389779799400,42.8,38.8
1389780699450,46.4,39.3
1389782499511,50.1,39.9
1389783399540,52.3,40.5
1389784299593,52.6,40.7
1389786999892,57.1,42.0
1389788799881,55.4,42.6
1389791500060,59.5,41.7
1389792400160,26.5,43.0
1389796000570,56.9,44.8
1389796900662,58.3,45.3
1389797800771,58.4,44.6
1389799600870,39.2,44.8
1389801401070,29.4,44.2
1389802301183,25.8,44.0
1389805001491,25.3,43.0
1389806801672,32.1,43.0
1389807701771,27.9,42.9
1389808601871,27,41.8
1389809501921,27.3,41.1
1389810402033,27,22.6
1389811302120,26.8,20.1
1389812202222,26.8,23.1
1389813102331,26.3,24.4
1389814002411,25.5,24.3
1389814902551,24.5,23.9
1389815802541,25.1,23.5
1389816702601,23.7,23.6
1389818502763,23.7,23.6
1389821203012,22.8,25.9
1389822103121,22.5,26.5
1389823903302,23.2,26.8
1389824803401,22.6,26.8
1389825703502,23.1,25.9
1389827503663,23.2,27.1
1389828403751,23.7,27.0
1389829303851,24.5,27.0
1389830203931,25.1,27.1
1389831104021,25.9,27.2
1389832004111,25.2,26.8
1389833804331,26.9,27.7
1389834704431,26.6,27.9
1389835604541,26.1,28.0
1389836504643,25.7,28.1
1389837404672,28.3,29.1
1389838304781,36.2,29.7
1389839204862,39.1,30.0
1389840104952,38.9,31.2
1389841005061,42.2,32.0
1389841905147,42,33.0
1389842805233,44.2,33.3
1389843705333,45.5,33.8
1389844605432,45.8,33.9
1389845505523,42.8,33.8
1389846405591,42.6,33.4
1389847305692,46.6,34.3
1389848205782,43.2,34.8
1389849105893,37.6,35.2
1389850005932,36.4,35.2
1389850906042,38.3,35.7
1389851806123,41.9,35.7
1389853606333,43.4,36.3
1389854506432,44.3,36.6
1389855406511,46,36.8
1389856306632,44.5,37.3
1389857206723,40.9,37.5
1389858106822,39.6,37.7
1389859006943,48.1,37.5
1389859907032,38.4,37.0
1389860807133,34,37.4
1389861707202,43.7,37.4
1389862607304,39.3,37.9
1389863507395,44.1,38.3
1389864407502,39.6,38.6
1389865307612,41.1,38.9
1389866207712,41.3,39.3
1389867107772,39.7,39.3
1389868007873,37.9,39.5
1389868907973,35.9,39.5
1389869808053,35.7,39.3
1389870708152,34.5,38.3
1389871608262,27.3,38.7
1389872508343,27.8,38.8
1389873408444,27.1,38.6
1389874308532,27.5,39.0
1389875208603,36.8,39.3
1389876108741,28.6,38.0
1389877008803,25.2,37.8
1389877908873,25.9,33.6
1389878808962,25,36.6
1389879709073,26.8,37.8
1389880609153,35.2,37.8
1389881509254,27,38.1
1389882409353,26.5,38.2
1389883309387,38.7,38.5
1389884209482,41.8,38.9
1389885109573,44.5,39.3
1389886009663,45.7,39.6
1389886909774,43.9,39.9
1389887809863,35.9,40.3
1389888709953,26.2,41.0
1389889610064,22.2,40.6
1389890510123,24.7,41.0
1389891410123,24.7,41.6
1389892310143,24.3,42.0
1389893210173,29.8,42.4
1389894110263,20.2,42.2
1389895010373,18.7,41.5
1389895910464,18.5,40.3
1389896810554,18.3,39.7
1389897710673,19.1,38.6
1389898610774,19.4,38.9
1389900410953,18.2,37.5
1389901311054,18.3,36.9
1389903111213,18.9,36.1
1389904011324,20.1,35.6
1389904911383,19.3,35.0
1389905811424,18.7,34.5
1389906711524,20.4,35.1
1389907611624,16.9,35.0
1389908511703,24.8,35.3
1389909411803,26.8,35.7
1389910311884,28,36.2
1389911211984,26.8,36.2
1389912112083,28.2,36.3
1389913012193,26.5,36.7
1389913912294,27.3,36.9
1389914812394,27.1,36.9
1389915712425,27.5,36.8
1389916612524,24.7,36.4
1389917512623,24.5,36.1
1389918412674,25.6,36.9
1389919312774,23.2,36.5
1389921112904,24,35.5
1389922013014,25.1,34.3
1389922913114,25.7,33.5
1389923813153,30.1,34.0
1389925613354,36.5,35.5
1389926513404,34.6,36.2
1389927413505,38.5,36.8
1389928313614,37,37.9
