Date, LiquidTemp, TempOut, TempIn
1392090886141,62.38,61.88,62.1
1392091036262,62.38,61.88,62.2
1392091336441,62.38,61.88,62.2
1392091486541,62.38,61.88,62.2
1392091936845,62.38,61.88,62.2
1392092086924,62.38,61.88,62.1
1392092387121,62.38,61.88,62.2
1392092987521,62.26,61.88,62.1
1392093137584,62.26,61.88,62.1
1392093287661,62.26,61.88,62.1
1392093587862,62.49,61.88,62.2
1392093737963,62.71,61.88,62.4
1392094488462,63.95,63.32,63.7
1392094638561,64.06,63.50,64.0
1392095088881,64.29,63.86,64.2
1392095238924,64.40,64.04,64.2
1392095389022,64.51,64.04,64.2
1392095539121,64.63,64.04,64.4
1392095839325,64.74,64.22,64.6
1392095989424,64.85,64.22,64.6
1392096139505,64.96,64.40,64.8
1392096289585,65.08,64.40,64.8
1392096439675,65.30,64.58,64.9
1392096589785,65.30,64.58,65.1
1392096739865,65.53,64.76,65.1
1392097190124,65.75,65.12,65.5
1392097340241,65.97,65.30,65.7
1392097490363,66.09,65.30,65.7
1392098240841,66.54,65.84,66.2
1392098540965,66.76,66.02,66.4
1392098691092,66.88,66.20,66.6
1392099141381,66.99,66.38,66.6
1392099441587,67.21,66.38,66.9
1392099591685,67.33,66.56,66.9
1392100041981,67.66,66.74,67.3
1392100192084,67.78,66.92,67.3
1392100342184,67.89,67.10,67.5
1392100642365,68.00,67.28,67.6
1392101092661,68.34,67.46,68.0
1392101242765,68.45,67.64,68.0
1392101392865,68.56,67.64,68.2
1392101542954,68.56,67.64,68.2
1392101693065,68.68,67.82,68.2
1392101993227,68.79,68.00,68.4
1392102293421,68.90,68.18,68.5
1392102443521,69.13,68.18,68.5
1392102815882,69.35,68.54,68.9
1392102935942,69.35,68.72,69.1
1392103116114,69.46,68.72,69.1
1392103176151,69.46,68.90,69.1
1392103296262,69.58,68.90,69.1
1392103356294,69.58,68.90,69.3
1392103416332,69.69,68.90,69.3
1392103476372,69.69,68.90,69.3
1392103536445,69.69,69.08,69.3
1392103686545,69.80,69.08,69.4
1392103836634,69.80,69.08,69.4
1392103986745,69.91,69.08,69.6
1392104286915,70.03,69.26,69.6
1392104437003,70.14,69.26,69.8
1392104587092,70.25,69.44,69.8
1392104737202,70.25,69.44,70.0
1392104887292,70.36,69.62,70.0
1392105037395,70.47,69.62,70.0
1392105337592,70.59,69.80,70.2
1392105637792,70.70,69.98,70.3
1392105787925,70.81,69.98,70.5
1392105938005,70.81,69.98,70.5
1392106238192,71.04,70.16,70.7
1392106388295,71.04,70.34,70.7
1392106538372,71.15,70.34,70.7
1392106688474,71.26,70.34,70.9
1392106838582,71.15,70.52,71.1
1392106988682,71.04,70.52,70.9
1392107138772,71.04,70.70,70.9
1392107288885,71.04,70.70,70.9
1392107589105,70.93,70.70,70.9
1392107739182,70.81,70.70,70.9
1392107889275,70.70,70.70,70.7
1392108039387,70.70,70.52,70.5
1392108339572,70.47,70.34,70.3
1392108489675,70.36,70.16,70.3
1392108639762,70.25,70.16,70.2
1392108789842,70.14,69.98,70.2
1392108939965,70.14,69.98,70.0
1392109390195,69.80,69.62,69.8
1392109540305,69.69,69.44,69.6
1392109690403,69.69,69.44,69.4
1392109840495,69.58,69.44,69.4
1392110140702,69.46,69.08,69.3
1392110290803,69.35,69.08,69.3
1392110591004,69.13,68.90,69.1
1392110741102,69.13,68.90,68.9
1392110891202,69.01,68.72,68.9
1392111041297,68.90,68.72,68.9
1392111191392,68.90,68.54,68.9
1392111341435,68.79,68.54,68.7
1392111491565,68.68,68.54,68.7
1392111641632,68.56,68.36,68.5
1392111791742,68.56,68.18,68.5
1392111941842,68.45,68.18,68.5
1392112091953,68.45,68.18,68.4
1392112242043,68.34,68.00,68.4
1392112392162,68.34,68.00,68.2
1392112692345,68.11,67.82,68.2
1392112842432,68.11,67.82,68.0
1392112992542,68.00,67.64,68.0
1392113142625,68.00,67.64,67.8
1392113292732,67.89,67.64,67.8
1392113442842,67.78,67.64,67.8
1392113592932,67.78,67.46,67.8
1392113743042,67.55,67.46,67.6
1392114043234,67.55,67.10,67.3
1392114193343,67.33,67.10,67.3
1392114343432,67.33,66.92,67.3
1392114493545,67.33,66.74,67.3
1392114643666,67.66,66.74,67.5
1392114793742,67.55,66.92,67.5
1392114943832,67.44,66.92,67.3
1392115093947,67.33,67.10,67.3
1392115244045,67.33,67.10,67.3
1392115394174,67.21,67.10,67.1
1392115544242,67.10,66.92,66.9
1392115694334,67.10,66.92,66.9
1392115844445,66.99,66.74,66.7
1392115994465,66.88,66.74,66.7
1392116294662,66.76,66.56,66.6
1392116444752,66.76,66.56,66.6
1392116594865,66.65,66.38,66.4
1392116895062,66.65,66.38,66.4
1392117045152,66.65,66.38,66.2
1392117195265,66.54,66.20,66.2
1392117345355,66.54,66.20,66.2
1392117645565,66.31,66.20,66.0
1392117795652,66.31,66.02,66.0
1392117945752,66.31,66.02,66.0
1392118095862,66.20,65.84,66.0
1392118245952,66.20,65.84,66.0
1392118696225,66.09,65.84,65.7
1392118846335,65.97,65.84,65.7
1392118996446,65.97,65.66,65.7
1392119446784,65.86,65.48,65.5
